ip,ip_type,isp,city,state,country,note
198.18.7.137,residential,Crestline DSL,Columbus,OH,US,
198.18.129.33,residential,Crestline DSL,Denver,CO,US,
198.18.240.187,residential,Crestline DSL,Chicago,IL,US,
198.18.197.123,residential,Metrolink Fiber,Cleveland,OH,US,
198.18.11.20,residential,Crestline DSL,Brooklyn,NY,US,
198.18.115.109,residential,Brightwave Cable,Columbus,OH,US,
198.18.32.218,residential,Crestline DSL,Westerville,OH,US,
198.18.183.220,residential,Brightwave Cable,Columbus,OH,US,
198.18.105.163,residential,Brightwave Cable,Denver,CO,US,
198.18.173.38,residential,Brightwave Cable,Austin,TX,US,
198.18.51.249,residential,Crestline DSL,Pittsburgh,PA,US,
198.18.187.69,residential,Metrolink Fiber,Cleveland,OH,US,
198.18.215.218,residential,Crestline DSL,Chicago,IL,US,
198.18.107.240,residential,Brightwave Cable,Seattle,WA,US,
198.18.77.208,residential,Metrolink Fiber,Cleveland,OH,US,
198.18.188.168,residential,Crestline DSL,Seattle,WA,US,
198.18.38.113,residential,Brightwave Cable,Westerville,OH,US,
198.18.212.197,residential,Crestline DSL,Columbus,OH,US,
198.18.55.119,residential,Brightwave Cable,Los Angeles,CA,US,
198.18.104.174,residential,Brightwave Cable,Cleveland,OH,US,
198.18.247.154,residential,Brightwave Cable,Boston,MA,US,
198.18.203.42,residential,Crestline DSL,Chicago,IL,US,
198.18.54.186,residential,Crestline DSL,Austin,TX,US,
198.18.3.32,residential,Brightwave Cable,Cleveland,OH,US,
198.18.33.179,residential,Crestline DSL,Chicago,IL,US,
198.18.66.185,residential,Crestline DSL,Columbus,OH,US,
198.18.216.122,residential,Crestline DSL,Boston,MA,US,
198.18.56.157,residential,Crestline DSL,Columbus,OH,US,
198.18.211.32,residential,Brightwave Cable,Denver,CO,US,
198.18.33.231,residential,Metrolink Fiber,Columbus,OH,US,
198.18.236.38,residential,Crestline DSL,Columbus,OH,US,
198.18.188.166,residential,Brightwave Cable,Seattle,WA,US,
198.18.235.134,residential,Brightwave Cable,Chicago,IL,US,
198.18.201.52,residential,Brightwave Cable,Columbus,OH,US,
198.18.135.153,residential,Crestline DSL,Chicago,IL,US,
198.18.166.115,residential,Crestline DSL,Columbus,OH,US,
198.18.137.213,residential,Crestline DSL,Chicago,IL,US,
198.18.8.204,residential,Crestline DSL,Chicago,IL,US,
198.18.212.219,residential,Crestline DSL,Columbus,OH,US,
198.18.38.12,residential,Crestline DSL,Jersey City,NJ,US,
198.18.210.113,residential,Metrolink Fiber,Seattle,WA,US,
198.18.77.120,residential,Brightwave Cable,Pittsburgh,PA,US,
198.18.214.71,residential,Crestline DSL,Seattle,WA,US,
198.18.125.175,residential,Brightwave Cable,Jersey City,NJ,US,
198.18.210.127,residential,Metrolink Fiber,Seattle,WA,US,
198.18.140.18,residential,Metrolink Fiber,Los Angeles,CA,US,
198.18.27.201,residential,Brightwave Cable,Los Angeles,CA,US,
198.18.168.26,residential,Brightwave Cable,Columbus,OH,US,
198.18.160.215,residential,Metrolink Fiber,Denver,CO,US,
198.18.83.179,residential,Crestline DSL,Denver,CO,US,
198.18.67.135,residential,Brightwave Cable,Brooklyn,NY,US,
198.18.1.125,residential,Brightwave Cable,Pittsburgh,PA,US,
198.18.14.200,residential,Crestline DSL,Austin,TX,US,
198.18.17.3,residential,Brightwave Cable,Brooklyn,NY,US,
198.18.6.49,residential,Brightwave Cable,Cleveland,OH,US,
198.18.87.29,residential,Crestline DSL,Jersey City,NJ,US,
198.18.37.154,residential,Metrolink Fiber,Los Angeles,CA,US,
198.18.102.146,residential,Crestline DSL,Denver,CO,US,
198.18.162.59,residential,Crestline DSL,Chicago,IL,US,
198.18.250.43,residential,Crestline DSL,Columbus,OH,US,
198.18.219.51,residential,Crestline DSL,Denver,CO,US,
198.18.224.73,residential,Crestline DSL,Austin,TX,US,
198.18.237.39,residential,Crestline DSL,Seattle,WA,US,
198.18.167.159,residential,Metrolink Fiber,Westerville,OH,US,
198.18.100.32,residential,Brightwave Cable,Westerville,OH,US,
198.18.248.109,residential,Crestline DSL,Pittsburgh,PA,US,
198.18.98.54,residential,Metrolink Fiber,Austin,TX,US,
198.18.175.146,residential,Metrolink Fiber,Seattle,WA,US,
198.18.140.67,residential,Brightwave Cable,Chicago,IL,US,
198.18.122.20,residential,Metrolink Fiber,Columbus,OH,US,
198.18.128.103,residential,Brightwave Cable,Los Angeles,CA,US,
198.18.149.48,residential,Crestline DSL,Los Angeles,CA,US,
198.18.94.28,residential,Brightwave Cable,Austin,TX,US,
198.18.250.61,residential,Brightwave Cable,Austin,TX,US,
198.18.16.104,residential,Brightwave Cable,Chicago,IL,US,
198.18.241.13,residential,Crestline DSL,Columbus,OH,US,
198.18.136.136,residential,Metrolink Fiber,Austin,TX,US,
198.18.135.30,residential,Brightwave Cable,Austin,TX,US,
198.18.78.205,residential,Crestline DSL,Chicago,IL,US,
198.18.204.90,residential,Crestline DSL,Columbus,OH,US,
198.18.218.48,residential,Crestline DSL,Cleveland,OH,US,
198.18.20.125,residential,Metrolink Fiber,Cleveland,OH,US,
198.18.186.142,residential,Brightwave Cable,Denver,CO,US,
198.18.238.30,residential,Brightwave Cable,Brooklyn,NY,US,
198.18.32.232,residential,Brightwave Cable,Pittsburgh,PA,US,
198.18.110.64,residential,Brightwave Cable,Cleveland,OH,US,
198.18.131.181,residential,Brightwave Cable,Boston,MA,US,
198.18.8.82,residential,Brightwave Cable,Westerville,OH,US,
198.18.243.182,residential,Metrolink Fiber,Austin,TX,US,
198.18.224.20,residential,Crestline DSL,Seattle,WA,US,
198.18.102.234,residential,Metrolink Fiber,Pittsburgh,PA,US,
198.18.170.175,residential,Metrolink Fiber,Cleveland,OH,US,
198.18.77.17,residential,Metrolink Fiber,Cleveland,OH,US,
198.18.132.92,residential,Metrolink Fiber,Los Angeles,CA,US,
198.18.147.239,residential,Metrolink Fiber,Boston,MA,US,
198.18.225.123,residential,Crestline DSL,Chicago,IL,US,
198.18.146.93,residential,Brightwave Cable,Columbus,OH,US,
198.18.105.118,residential,Crestline DSL,Brooklyn,NY,US,
198.18.133.148,residential,Brightwave Cable,Columbus,OH,US,
198.18.121.106,residential,Crestline DSL,Austin,TX,US,
198.18.58.6,residential,Crestline DSL,Los Angeles,CA,US,
198.18.229.233,residential,Metrolink Fiber,Austin,TX,US,
198.18.98.4,residential,Metrolink Fiber,Los Angeles,CA,US,
198.18.105.100,residential,Metrolink Fiber,Denver,CO,US,
198.18.248.10,residential,Crestline DSL,Los Angeles,CA,US,
198.18.231.27,residential,Crestline DSL,Jersey City,NJ,US,
198.18.39.3,residential,Crestline DSL,Seattle,WA,US,
198.18.169.95,residential,Brightwave Cable,Chicago,IL,US,
198.18.190.139,residential,Metrolink Fiber,Brooklyn,NY,US,
198.18.125.183,residential,Brightwave Cable,Pittsburgh,PA,US,
198.18.156.71,residential,Crestline DSL,Columbus,OH,US,
198.18.63.128,residential,Metrolink Fiber,Boston,MA,US,
198.18.151.232,residential,Brightwave Cable,Chicago,IL,US,
198.18.70.146,residential,Brightwave Cable,Austin,TX,US,
198.18.172.204,residential,Metrolink Fiber,Westerville,OH,US,
198.18.106.166,residential,Crestline DSL,Brooklyn,NY,US,
198.18.74.77,residential,Crestline DSL,Columbus,OH,US,
198.18.86.234,residential,Metrolink Fiber,Pittsburgh,PA,US,
198.18.215.205,residential,Metrolink Fiber,Cleveland,OH,US,
198.18.218.254,residential,Metrolink Fiber,Los Angeles,CA,US,
198.18.24.53,residential,Metrolink Fiber,Brooklyn,NY,US,
198.18.228.128,residential,Brightwave Cable,Cleveland,OH,US,
198.18.97.134,residential,Metrolink Fiber,Austin,TX,US,
198.18.248.14,residential,Metrolink Fiber,Denver,CO,US,
198.18.42.34,residential,Brightwave Cable,Columbus,OH,US,
198.18.21.23,residential,Crestline DSL,Denver,CO,US,
198.18.57.177,residential,Brightwave Cable,Denver,CO,US,
198.18.136.154,residential,Brightwave Cable,Chicago,IL,US,
198.18.177.192,residential,Brightwave Cable,Columbus,OH,US,
198.18.4.248,residential,Brightwave Cable,Austin,TX,US,
198.18.171.251,residential,Metrolink Fiber,Los Angeles,CA,US,
198.18.150.214,residential,Brightwave Cable,Chicago,IL,US,
198.18.133.165,residential,Metrolink Fiber,Pittsburgh,PA,US,
198.18.118.6,residential,Brightwave Cable,Chicago,IL,US,
198.18.194.12,residential,Brightwave Cable,Chicago,IL,US,
198.18.131.83,residential,Metrolink Fiber,Brooklyn,NY,US,
198.18.65.183,residential,Metrolink Fiber,Boston,MA,US,
198.18.3.253,residential,Metrolink Fiber,Columbus,OH,US,
198.18.149.8,residential,Brightwave Cable,Brooklyn,NY,US,
198.18.112.14,residential,Metrolink Fiber,Seattle,WA,US,
198.18.47.200,residential,Crestline DSL,Seattle,WA,US,
198.18.243.194,residential,Metrolink Fiber,Jersey City,NJ,US,
198.18.55.214,residential,Brightwave Cable,Austin,TX,US,
198.18.210.120,residential,Crestline DSL,Cleveland,OH,US,
198.18.25.41,residential,Brightwave Cable,Seattle,WA,US,
198.18.15.134,residential,Crestline DSL,Columbus,OH,US,
198.18.102.129,residential,Brightwave Cable,Columbus,OH,US,
198.18.72.70,residential,Crestline DSL,Los Angeles,CA,US,
198.18.2.176,residential,Metrolink Fiber,Seattle,WA,US,
198.18.153.196,residential,Metrolink Fiber,Los Angeles,CA,US,
198.18.45.232,residential,Brightwave Cable,Los Angeles,CA,US,
198.18.49.130,residential,Brightwave Cable,Columbus,OH,US,
198.18.5.14,residential,Metrolink Fiber,Brooklyn,NY,US,
198.18.77.197,residential,Metrolink Fiber,Chicago,IL,US,
198.18.63.107,residential,Crestline DSL,Columbus,OH,US,
198.18.83.15,residential,Brightwave Cable,Jersey City,NJ,US,
198.18.39.43,residential,Metrolink Fiber,Boston,MA,US,
198.18.78.208,residential,Brightwave Cable,Cleveland,OH,US,
198.18.32.135,residential,Brightwave Cable,Austin,TX,US,
198.18.102.238,residential,Crestline DSL,Columbus,OH,US,
198.18.188.226,residential,Metrolink Fiber,Los Angeles,CA,US,
198.18.8.194,residential,Brightwave Cable,Cleveland,OH,US,
198.18.130.148,residential,Crestline DSL,Columbus,OH,US,
198.18.184.133,residential,Metrolink Fiber,Cleveland,OH,US,
198.18.7.186,residential,Brightwave Cable,Seattle,WA,US,
198.18.205.25,residential,Crestline DSL,Westerville,OH,US,
198.18.53.184,residential,Crestline DSL,Denver,CO,US,
198.18.110.74,residential,Metrolink Fiber,Columbus,OH,US,
198.18.80.67,residential,Metrolink Fiber,Columbus,OH,US,
198.18.210.19,residential,Metrolink Fiber,Columbus,OH,US,
198.18.191.153,residential,Metrolink Fiber,Chicago,IL,US,
198.18.173.146,residential,Metrolink Fiber,Pittsburgh,PA,US,
198.18.82.38,residential,Crestline DSL,Boston,MA,US,
198.18.212.218,residential,Brightwave Cable,Boston,MA,US,
198.18.55.118,residential,Metrolink Fiber,Cleveland,OH,US,
198.18.19.91,residential,Crestline DSL,Cleveland,OH,US,
198.18.182.106,residential,Brightwave Cable,Denver,CO,US,
198.18.128.237,residential,Crestline DSL,Columbus,OH,US,
198.18.72.221,residential,Metrolink Fiber,Pittsburgh,PA,US,
198.18.97.80,residential,Metrolink Fiber,Columbus,OH,US,
198.18.108.32,residential,Crestline DSL,Boston,MA,US,
198.18.88.70,residential,Metrolink Fiber,Los Angeles,CA,US,
198.18.142.110,residential,Metrolink Fiber,Cleveland,OH,US,
198.18.112.140,residential,Brightwave Cable,Pittsburgh,PA,US,
198.18.36.193,residential,Brightwave Cable,Denver,CO,US,
198.18.113.215,residential,Metrolink Fiber,Columbus,OH,US,
198.18.120.17,residential,Brightwave Cable,Columbus,OH,US,
198.18.77.41,residential,Metrolink Fiber,Boston,MA,US,
198.18.230.133,residential,Brightwave Cable,Austin,TX,US,
198.18.237.124,residential,Crestline DSL,Pittsburgh,PA,US,
198.18.35.122,residential,Metrolink Fiber,Pittsburgh,PA,US,
198.18.18.144,residential,Metrolink Fiber,Columbus,OH,US,
198.18.6.43,residential,Crestline DSL,Boston,MA,US,
198.18.69.33,residential,Metrolink Fiber,Columbus,OH,US,
198.18.14.117,residential,Metrolink Fiber,Cleveland,OH,US,
198.18.92.170,residential,Brightwave Cable,Boston,MA,US,
198.18.227.105,residential,Crestline DSL,Denver,CO,US,
198.18.140.101,residential,Brightwave Cable,Seattle,WA,US,
198.18.221.74,residential,Brightwave Cable,Boston,MA,US,
198.18.166.181,residential,Crestline DSL,Columbus,OH,US,
198.18.124.248,residential,Metrolink Fiber,Los Angeles,CA,US,
198.18.68.74,residential,Crestline DSL,Los Angeles,CA,US,
198.18.97.14,residential,Metrolink Fiber,Jersey City,NJ,US,
198.18.221.231,residential,Brightwave Cable,Columbus,OH,US,
198.18.133.104,residential,Crestline DSL,Seattle,WA,US,
198.18.41.190,residential,Metrolink Fiber,Boston,MA,US,
198.18.215.137,residential,Metrolink Fiber,Jersey City,NJ,US,
198.18.101.193,residential,Crestline DSL,Los Angeles,CA,US,
198.18.49.206,residential,Brightwave Cable,Columbus,OH,US,
198.18.20.4,residential,Brightwave Cable,Cleveland,OH,US,
198.18.184.85,residential,Metrolink Fiber,Jersey City,NJ,US,
198.18.208.79,residential,Metrolink Fiber,Denver,CO,US,
198.18.130.230,residential,Crestline DSL,Westerville,OH,US,
198.18.146.227,residential,Metrolink Fiber,Los Angeles,CA,US,
198.18.168.100,residential,Brightwave Cable,Chicago,IL,US,
198.18.215.113,residential,Metrolink Fiber,Seattle,WA,US,
198.18.36.214,residential,Brightwave Cable,Jersey City,NJ,US,
198.18.91.140,residential,Metrolink Fiber,Los Angeles,CA,US,
198.18.172.170,residential,Brightwave Cable,Cleveland,OH,US,
198.18.66.37,residential,Brightwave Cable,Jersey City,NJ,US,
198.18.50.15,residential,Brightwave Cable,Columbus,OH,US,
198.18.140.28,residential,Brightwave Cable,Chicago,IL,US,
198.18.184.200,residential,Brightwave Cable,Seattle,WA,US,
198.18.91.164,residential,Metrolink Fiber,Westerville,OH,US,
198.18.128.163,residential,Brightwave Cable,Brooklyn,NY,US,
198.18.115.53,residential,Crestline DSL,Seattle,WA,US,
198.18.117.10,residential,Crestline DSL,Austin,TX,US,
198.18.78.140,residential,Metrolink Fiber,Los Angeles,CA,US,
198.18.145.236,residential,Brightwave Cable,Brooklyn,NY,US,
198.18.112.19,residential,Crestline DSL,Brooklyn,NY,US,
198.18.202.6,residential,Metrolink Fiber,Chicago,IL,US,
198.18.116.33,residential,Metrolink Fiber,Cleveland,OH,US,
198.18.17.180,residential,Metrolink Fiber,Cleveland,OH,US,
198.18.219.136,residential,Crestline DSL,Los Angeles,CA,US,
198.18.174.106,residential,Metrolink Fiber,Pittsburgh,PA,US,
198.18.249.212,residential,Crestline DSL,Chicago,IL,US,
198.18.76.26,residential,Crestline DSL,Seattle,WA,US,
198.18.116.125,residential,Brightwave Cable,Jersey City,NJ,US,
198.18.153.170,residential,Metrolink Fiber,Brooklyn,NY,US,
198.18.149.107,residential,Brightwave Cable,Columbus,OH,US,
198.18.235.158,residential,Brightwave Cable,Los Angeles,CA,US,
198.18.129.225,residential,Metrolink Fiber,Austin,TX,US,
198.18.218.35,residential,Crestline DSL,Denver,CO,US,
198.18.140.105,residential,Brightwave Cable,Austin,TX,US,
198.18.91.136,residential,Brightwave Cable,Jersey City,NJ,US,
198.18.190.215,residential,Brightwave Cable,Cleveland,OH,US,
198.18.173.221,residential,Metrolink Fiber,Brooklyn,NY,US,
198.18.5.90,residential,Metrolink Fiber,Chicago,IL,US,
198.18.38.216,residential,Metrolink Fiber,Columbus,OH,US,
198.18.187.236,residential,Crestline DSL,Boston,MA,US,
198.18.207.33,residential,Crestline DSL,Columbus,OH,US,
198.18.157.192,residential,Brightwave Cable,Pittsburgh,PA,US,
198.18.16.153,residential,Metrolink Fiber,Seattle,WA,US,
198.18.107.68,residential,Metrolink Fiber,Brooklyn,NY,US,
198.18.82.199,residential,Crestline DSL,Seattle,WA,US,
198.18.177.77,residential,Metrolink Fiber,Boston,MA,US,
198.18.144.25,residential,Crestline DSL,Los Angeles,CA,US,
198.18.189.225,residential,Metrolink Fiber,Seattle,WA,US,
198.18.126.221,residential,Crestline DSL,Cleveland,OH,US,
198.18.150.141,residential,Metrolink Fiber,Pittsburgh,PA,US,
198.18.162.119,residential,Brightwave Cable,Brooklyn,NY,US,
198.18.109.114,residential,Crestline DSL,Brooklyn,NY,US,
198.18.127.143,residential,Brightwave Cable,Columbus,OH,US,
198.18.29.42,residential,Crestline DSL,Jersey City,NJ,US,
198.18.64.78,residential,Crestline DSL,Chicago,IL,US,
198.18.71.192,residential,Brightwave Cable,Boston,MA,US,
198.18.58.13,residential,Metrolink Fiber,Chicago,IL,US,
198.18.15.220,residential,Metrolink Fiber,Austin,TX,US,
198.18.204.8,residential,Crestline DSL,Brooklyn,NY,US,
198.18.29.57,residential,Crestline DSL,Cleveland,OH,US,
198.18.241.105,residential,Metrolink Fiber,Chicago,IL,US,
198.18.12.251,residential,Brightwave Cable,Chicago,IL,US,
198.18.65.59,residential,Metrolink Fiber,Cleveland,OH,US,
198.18.59.52,residential,Brightwave Cable,Cleveland,OH,US,
198.18.186.61,residential,Brightwave Cable,Boston,MA,US,
198.18.97.44,residential,Crestline DSL,Austin,TX,US,
198.18.27.28,residential,Brightwave Cable,Brooklyn,NY,US,
198.18.51.112,residential,Crestline DSL,Denver,CO,US,
198.18.161.97,residential,Metrolink Fiber,Boston,MA,US,
198.18.175.13,residential,Metrolink Fiber,Denver,CO,US,
198.18.115.23,residential,Crestline DSL,Chicago,IL,US,
198.18.205.87,residential,Metrolink Fiber,Seattle,WA,US,
198.18.125.198,residential,Brightwave Cable,Chicago,IL,US,
198.18.111.46,residential,Metrolink Fiber,Columbus,OH,US,
198.18.23.208,residential,Brightwave Cable,Pittsburgh,PA,US,
198.18.240.138,residential,Brightwave Cable,Brooklyn,NY,US,
198.18.31.114,residential,Brightwave Cable,Los Angeles,CA,US,
198.18.74.220,residential,Brightwave Cable,Austin,TX,US,
198.18.188.61,residential,Crestline DSL,Chicago,IL,US,
198.18.240.38,residential,Brightwave Cable,Chicago,IL,US,
198.18.104.53,residential,Crestline DSL,Seattle,WA,US,
198.18.227.83,residential,Metrolink Fiber,Cleveland,OH,US,
198.18.51.31,residential,Crestline DSL,Seattle,WA,US,
198.18.103.158,residential,Crestline DSL,Pittsburgh,PA,US,
198.18.44.4,residential,Metrolink Fiber,Austin,TX,US,
198.18.62.91,residential,Metrolink Fiber,Denver,CO,US,
198.18.47.166,residential,Crestline DSL,Seattle,WA,US,
198.18.207.200,residential,Crestline DSL,Los Angeles,CA,US,
198.18.113.117,residential,Metrolink Fiber,Pittsburgh,PA,US,
