mcc,description
4121,Taxicabs and Limousines (incl. ride-hail)
4511,"Airlines, Air Carriers"
4722,Travel Agencies and Tour Operators
4814,Telecommunication Services
4899,"Cable, Satellite, and Other Pay Television/Streaming"
4900,Utilities
5311,Department Stores
5399,Miscellaneous General Merchandise
5411,"Grocery Stores, Supermarkets"
5541,Service Stations
5542,Automated Fuel Dispensers
5651,Family Clothing Stores
5661,Shoe Stores
5712,"Furniture, Home Furnishings"
5719,Miscellaneous Home Furnishing Specialty Stores
5732,Electronics Stores
5812,"Eating Places, Restaurants"
5814,Fast Food Restaurants
5815,Digital Goods – Media
5816,Digital Goods – Games
5817,Digital Goods – Applications (excl. games)
5818,Digital Goods – Large Digital Goods Merchant
5912,Drug Stores and Pharmacies
5947,"Gift, Card, Novelty, and Souvenir Shops"
5968,Direct Marketing – Continuity/Subscription
5969,Direct Marketing – Other Direct Marketers
5999,Miscellaneous and Specialty Retail Stores
7011,"Lodging – Hotels, Motels, Resorts"
7922,Theatrical Producers and Ticket Agencies
7997,"Membership Clubs (Sports, Recreation, Athletic)"
