account_id,customer_id,role,added_at,removed_at
ACC-CR-00001,CUS-00001,primary,2016-01-11,
ACC-CR-00002,CUS-00002,primary,2025-06-22,
ACC-CR-00003,CUS-00003,primary,2022-04-23,
ACC-CR-00004,CUS-00004,primary,2018-08-16,
ACC-CR-00005,CUS-00005,primary,2009-11-01,
ACC-CR-00006,CUS-00006,primary,2020-05-14,
ACC-CR-00007,CUS-00007,primary,2011-05-02,
ACC-CR-00008,CUS-00008,primary,2019-11-19,
ACC-DDA-00001,CUS-00008,primary,2019-11-19,
ACC-CR-00008,CUS-00009,authorized_user,2021-03-23,
ACC-CR-00009,CUS-00010,primary,2024-08-24,
ACC-DDA-00002,CUS-00010,primary,2024-08-24,
ACC-CR-00009,CUS-00011,authorized_user,2025-06-19,
ACC-CR-00010,CUS-00012,primary,2017-08-18,
ACC-CR-00011,CUS-00013,primary,2011-07-11,
ACC-CR-00012,CUS-00014,primary,2020-03-24,
ACC-CR-00013,CUS-00015,primary,2018-12-18,
ACC-CR-00014,CUS-00016,primary,2015-07-28,
ACC-CR-00015,CUS-00017,primary,2010-11-15,
ACC-DDA-00003,CUS-00018,primary,2022-06-12,
ACC-CR-00016,CUS-00019,primary,2023-01-01,
ACC-DDA-00004,CUS-00020,primary,2021-11-22,
ACC-CR-00017,CUS-00021,primary,2023-07-06,
ACC-DDA-00005,CUS-00021,primary,2023-07-06,
ACC-CR-00017,CUS-00022,authorized_user,2025-08-01,
ACC-CR-00018,CUS-00023,primary,2023-06-28,
ACC-CR-00018,CUS-00024,authorized_user,2025-09-10,
ACC-CR-00019,CUS-00025,primary,2019-11-05,
ACC-CR-00020,CUS-00026,primary,2015-01-06,
ACC-CR-00021,CUS-00027,primary,2024-05-15,
ACC-CR-00022,CUS-00028,primary,2023-08-12,
ACC-CR-00023,CUS-00029,primary,2026-01-12,
ACC-CR-00024,CUS-00030,primary,2020-02-28,
ACC-CR-00025,CUS-00031,primary,2017-07-06,
ACC-CR-00026,CUS-00032,primary,2019-11-28,
ACC-CR-00027,CUS-00033,primary,2014-02-26,
ACC-CR-00028,CUS-00034,primary,2023-06-22,
ACC-CR-00029,CUS-00035,primary,2008-10-19,
ACC-CR-00030,CUS-00036,primary,2023-11-26,
ACC-CR-00031,CUS-00037,primary,2019-06-18,
ACC-DDA-00006,CUS-00037,primary,2019-06-18,
ACC-CR-00032,CUS-00038,primary,2013-10-14,
ACC-CR-00033,CUS-00039,primary,2016-03-13,
ACC-CR-00034,CUS-00040,primary,2010-06-04,
ACC-CR-00035,CUS-00041,primary,2024-03-16,
ACC-CR-00036,CUS-00042,primary,2017-06-03,
ACC-CR-00036,CUS-00043,authorized_user,2017-09-09,
ACC-CR-00037,CUS-00044,primary,2011-09-11,
ACC-CR-00038,CUS-00045,primary,2024-03-10,
ACC-CR-00039,CUS-00046,primary,2014-05-02,
ACC-CR-00040,CUS-00047,primary,2026-04-18,
ACC-DDA-00007,CUS-00047,primary,2026-04-18,
ACC-CR-00041,CUS-00048,primary,2024-09-17,
ACC-CR-00042,CUS-00049,primary,2010-06-03,
ACC-DDA-00008,CUS-00049,primary,2010-06-03,
ACC-CR-00043,CUS-00050,primary,2024-09-03,
ACC-CR-00044,CUS-00051,primary,2023-02-17,
ACC-CR-00044,CUS-00052,authorized_user,2025-07-18,
ACC-CR-00045,CUS-00053,primary,2011-04-26,
ACC-CR-00046,CUS-00054,primary,2013-08-01,
ACC-CR-00047,CUS-00055,primary,2023-11-13,
ACC-CR-00048,CUS-00056,primary,2020-09-17,
ACC-CR-00049,CUS-00057,primary,2020-12-02,
ACC-CR-00050,CUS-00058,primary,2025-12-24,
ACC-CR-00051,CUS-00059,primary,2021-09-15,
ACC-CR-00052,CUS-00060,primary,2012-08-22,
ACC-CR-00053,CUS-00061,primary,2014-07-07,
ACC-CR-00054,CUS-00062,primary,2013-04-18,
ACC-CR-00055,CUS-00063,primary,2023-06-18,
ACC-CR-00056,CUS-00064,primary,2023-02-04,
ACC-CR-00057,CUS-00065,primary,2011-02-26,
ACC-CR-00058,CUS-00066,primary,2021-12-22,
ACC-CR-00059,CUS-00067,primary,2021-10-19,
ACC-DDA-00009,CUS-00067,primary,2021-10-19,
ACC-CR-00059,CUS-00068,authorized_user,2023-07-04,
ACC-CR-00060,CUS-00069,primary,2016-01-25,
ACC-CR-00061,CUS-00070,primary,2025-07-04,
ACC-CR-00062,CUS-00071,primary,2018-11-13,
ACC-CR-00063,CUS-00072,primary,2018-08-19,
ACC-CR-00064,CUS-00073,primary,2025-07-11,
ACC-DDA-00010,CUS-00074,primary,2017-11-01,
ACC-CR-00065,CUS-00075,primary,2025-07-16,
ACC-CR-00065,CUS-00076,authorized_user,2025-07-16,
ACC-CR-00066,CUS-00077,primary,2019-04-22,
ACC-DDA-00011,CUS-00077,primary,2019-04-22,
ACC-CR-00067,CUS-00078,primary,2026-06-23,
ACC-CR-00068,CUS-00079,primary,2026-03-22,
ACC-DDA-00012,CUS-00079,primary,2026-03-22,
ACC-CR-00069,CUS-00080,primary,2013-03-22,
ACC-CR-00070,CUS-00081,primary,2019-07-04,
ACC-CR-00070,CUS-00082,authorized_user,2021-09-08,
ACC-CR-00071,CUS-00083,primary,2024-01-15,
ACC-DDA-00013,CUS-00083,primary,2024-01-15,
ACC-CR-00072,CUS-00084,primary,2020-02-24,
ACC-CR-00073,CUS-00085,primary,2016-06-18,
ACC-CR-00074,CUS-00086,primary,2021-01-18,
ACC-CR-00075,CUS-00087,primary,2025-12-22,
ACC-CR-00076,CUS-00088,primary,2011-12-05,
ACC-CR-00077,CUS-00089,primary,2024-02-08,
ACC-DDA-00014,CUS-00089,primary,2024-02-08,
ACC-CR-00078,CUS-00090,primary,2015-07-17,
ACC-CR-00079,CUS-00091,primary,2024-06-08,
ACC-CR-00080,CUS-00092,primary,2014-02-14,
