account_id,primary_customer_id,product,regime,opened_at,status,credit_limit,apr,statement_cycle_day,payment_behavior,autopay,first_deposit_date
ACC-CR-00001,CUS-00001,lanternfield_visa_signature_credit,REG_Z,2016-01-11,open,7500,29.49,24,pay_in_full,false,
ACC-CR-00002,CUS-00002,lanternfield_visa_signature_credit,REG_Z,2025-06-22,open,1500,19.99,28,pay_in_full,false,
ACC-CR-00003,CUS-00003,lanternfield_visa_signature_credit,REG_Z,2022-04-23,open,1500,29.49,17,pay_in_full,false,
ACC-CR-00004,CUS-00004,lanternfield_visa_signature_credit,REG_Z,2018-08-16,open,3000,19.99,20,pay_in_full,true,
ACC-CR-00005,CUS-00005,lanternfield_visa_signature_credit,REG_Z,2009-11-01,open,10000,29.49,18,partial,false,
ACC-CR-00006,CUS-00006,lanternfield_visa_signature_credit,REG_Z,2020-05-14,open,10000,27.24,17,minimum,false,
ACC-CR-00007,CUS-00007,lanternfield_visa_signature_credit,REG_Z,2011-05-02,open,10000,27.24,22,partial,true,
ACC-CR-00008,CUS-00008,lanternfield_visa_signature_credit,REG_Z,2019-11-19,open,3000,22.49,28,pay_in_full,false,
ACC-DDA-00001,CUS-00008,lanternfield_visa_debit_checking,REG_E,2019-11-19,open,,,28,,,2019-11-20
ACC-CR-00009,CUS-00010,lanternfield_visa_signature_credit,REG_Z,2024-08-24,open,7500,27.24,12,pay_in_full,false,
ACC-DDA-00002,CUS-00010,lanternfield_visa_debit_checking,REG_E,2024-08-24,open,,,28,,,2024-08-27
ACC-CR-00010,CUS-00012,lanternfield_visa_signature_credit,REG_Z,2017-08-18,open,10000,22.49,28,pay_in_full,true,
ACC-CR-00011,CUS-00013,lanternfield_visa_signature_credit,REG_Z,2011-07-11,open,5000,24.99,28,pay_in_full,false,
ACC-CR-00012,CUS-00014,lanternfield_visa_signature_credit,REG_Z,2020-03-24,open,15000,19.99,14,pay_in_full,true,
ACC-CR-00013,CUS-00015,lanternfield_visa_signature_credit,REG_Z,2018-12-18,open,5000,19.99,15,pay_in_full,false,
ACC-CR-00014,CUS-00016,lanternfield_visa_signature_credit,REG_Z,2015-07-28,open,3000,29.49,28,partial,true,
ACC-CR-00015,CUS-00017,lanternfield_visa_signature_credit,REG_Z,2010-11-15,open,3000,27.24,12,partial,true,
ACC-DDA-00003,CUS-00018,lanternfield_visa_debit_checking,REG_E,2022-06-12,open,,,28,,,2022-06-13
ACC-CR-00016,CUS-00019,lanternfield_visa_signature_credit,REG_Z,2023-01-01,open,1500,19.99,7,partial,false,
ACC-DDA-00004,CUS-00020,lanternfield_visa_debit_checking,REG_E,2021-11-22,open,,,28,,,2021-11-25
ACC-CR-00017,CUS-00021,lanternfield_visa_signature_credit,REG_Z,2023-07-06,open,5000,22.49,6,pay_in_full,false,
ACC-DDA-00005,CUS-00021,lanternfield_visa_debit_checking,REG_E,2023-07-06,open,,,28,,,2023-07-10
ACC-CR-00018,CUS-00023,lanternfield_visa_signature_credit,REG_Z,2023-06-28,open,5000,24.99,11,pay_in_full,false,
ACC-CR-00019,CUS-00025,lanternfield_visa_signature_credit,REG_Z,2019-11-05,open,10000,24.99,20,pay_in_full,false,
ACC-CR-00020,CUS-00026,lanternfield_visa_signature_credit,REG_Z,2015-01-06,open,3000,29.49,10,pay_in_full,false,
ACC-CR-00021,CUS-00027,lanternfield_visa_signature_credit,REG_Z,2024-05-15,open,1500,24.99,3,pay_in_full,true,
ACC-CR-00022,CUS-00028,lanternfield_visa_signature_credit,REG_Z,2023-08-12,open,10000,19.99,28,partial,true,
ACC-CR-00023,CUS-00029,lanternfield_visa_signature_credit,REG_Z,2026-01-12,open,1500,27.24,4,partial,false,
ACC-CR-00024,CUS-00030,lanternfield_visa_signature_credit,REG_Z,2020-02-28,open,25000,19.99,27,minimum,false,
ACC-CR-00025,CUS-00031,lanternfield_visa_signature_credit,REG_Z,2017-07-06,open,1500,24.99,28,pay_in_full,false,
ACC-CR-00026,CUS-00032,lanternfield_visa_signature_credit,REG_Z,2019-11-28,open,5000,22.49,7,pay_in_full,true,
ACC-CR-00027,CUS-00033,lanternfield_visa_signature_credit,REG_Z,2014-02-26,open,1500,22.49,20,minimum,false,
ACC-CR-00028,CUS-00034,lanternfield_visa_signature_credit,REG_Z,2023-06-22,open,25000,22.49,9,partial,true,
ACC-CR-00029,CUS-00035,lanternfield_visa_signature_credit,REG_Z,2008-10-19,open,25000,24.99,18,pay_in_full,false,
ACC-CR-00030,CUS-00036,lanternfield_visa_signature_credit,REG_Z,2023-11-26,open,10000,22.49,13,pay_in_full,true,
ACC-CR-00031,CUS-00037,lanternfield_visa_signature_credit,REG_Z,2019-06-18,open,3000,29.49,28,pay_in_full,true,
ACC-DDA-00006,CUS-00037,lanternfield_visa_debit_checking,REG_E,2019-06-18,open,,,28,,,2019-06-21
ACC-CR-00032,CUS-00038,lanternfield_visa_signature_credit,REG_Z,2013-10-14,open,7500,24.99,6,pay_in_full,false,
ACC-CR-00033,CUS-00039,lanternfield_visa_signature_credit,REG_Z,2016-03-13,open,25000,29.49,14,partial,true,
ACC-CR-00034,CUS-00040,lanternfield_visa_signature_credit,REG_Z,2010-06-04,open,3000,22.49,16,minimum,false,
ACC-CR-00035,CUS-00041,lanternfield_visa_signature_credit,REG_Z,2024-03-16,open,3000,27.24,10,pay_in_full,false,
ACC-CR-00036,CUS-00042,lanternfield_visa_signature_credit,REG_Z,2017-06-03,open,1500,27.24,1,pay_in_full,false,
ACC-CR-00037,CUS-00044,lanternfield_visa_signature_credit,REG_Z,2011-09-11,open,15000,22.49,12,pay_in_full,true,
ACC-CR-00038,CUS-00045,lanternfield_visa_signature_credit,REG_Z,2024-03-10,open,3000,19.99,15,minimum,false,
ACC-CR-00039,CUS-00046,lanternfield_visa_signature_credit,REG_Z,2014-05-02,open,10000,27.24,28,minimum,true,
ACC-CR-00040,CUS-00047,lanternfield_visa_signature_credit,REG_Z,2026-04-18,open,10000,22.49,16,partial,false,
ACC-DDA-00007,CUS-00047,lanternfield_visa_debit_checking,REG_E,2026-04-18,open,,,28,,,2026-04-19
