address_id,line1,line2,city,state,postal_code,country,lat,lon,address_type
ADR-000001,914 Copperleaf Way,,Columbus,OH,43299,US,40.0192,-82.96776,residential
ADR-000002,1628 Norwood Fen Ln,,Columbus,OH,43298,US,39.99882,-82.94996,commercial
ADR-000003,3990 Alder Crest St,,Denver,CO,80225,US,39.72376,-105.02736,residential
ADR-000004,3123 Brindle Rd,,Denver,CO,80226,US,39.69052,-104.95562,commercial
ADR-000005,220 Rookwood Way,,Chicago,IL,60642,US,41.83657,-87.62759,residential
ADR-000006,4251 Elmsworth Blvd,,Chicago,IL,60626,US,41.87488,-87.57473,commercial
ADR-000007,351 Thistledown Blvd,,Cleveland,OH,44182,US,41.50719,-81.70156,residential
ADR-000008,2239 Bramblewood St,,Brooklyn,NY,11266,US,40.70236,-73.94702,residential
ADR-000009,3246 Larchmont Rise Rd,Apt 17A,Columbus,OH,43270,US,39.99995,-83.03352,residential
ADR-000010,3683 Ivybridge Ave,,Columbus,OH,43228,US,40.01585,-82.94064,commercial
ADR-000011,2800 Norwood Fen Ct,,Westerville,OH,43057,US,40.16837,-82.91174,residential
ADR-000012,261 Rookwood Way,,Westerville,OH,43053,US,40.1525,-82.89075,commercial
ADR-000013,2871 Oriel Blvd,,Columbus,OH,43243,US,39.92283,-83.02079,residential
ADR-000014,3517 Maple Ridge Ln,Apt 1C,Denver,CO,80204,US,39.72551,-105.00384,residential
ADR-000015,4358 Alder Crest Pl,,Denver,CO,80266,US,39.75275,-104.95448,commercial
ADR-000016,2707 Willowmere Blvd,,Denver,CO,80257,US,39.69333,-105.01,commercial
ADR-000017,3843 Norwood Fen Dr,,Austin,TX,78748,US,30.29818,-97.74121,residential
ADR-000018,2872 Thistledown Dr,,Pittsburgh,PA,15287,US,40.3807,-80.05103,residential
ADR-000019,3068 Elmsworth Way,,Pittsburgh,PA,15225,US,40.48734,-79.93691,commercial
ADR-000020,2824 Norwood Fen Dr,Apt 7C,Cleveland,OH,44166,US,41.53276,-81.6634,residential
ADR-000021,3401 Quarry Lake Way,,Chicago,IL,60680,US,41.93679,-87.60216,residential
ADR-000022,117 Bramblewood Ln,,Chicago,IL,60637,US,41.82306,-87.58937,commercial
ADR-000023,3676 Carroll Bend Pl,,Seattle,WA,98193,US,47.56206,-122.278,residential
ADR-000024,758 Harrowgate St,,Seattle,WA,98197,US,47.66198,-122.3371,commercial
ADR-000025,2712 Harrowgate Ct,Apt 10E,Cleveland,OH,44124,US,41.49478,-81.68484,residential
ADR-000026,963 Umberfield Ln,,Cleveland,OH,44188,US,41.55763,-81.72572,commercial
ADR-000027,2990 Umberfield Pl,Apt 4B,Seattle,WA,98132,US,47.56672,-122.34634,residential
