device_id,device_type,os,hardware_id,device_fingerprint,first_seen,observed_primary_customer_id
DEV-000001,phone,Android 16,352486529615533,fp_ae2a5720161fd34b7182fe1068c082ea78b18cf2,2016-01-11,CUS-00001
DEV-000002,phone,iOS 19.4,356979705240959,fp_9b007209a9a3a72dc743add69d457521c6d27370,2025-06-22,CUS-00002
DEV-000003,laptop,macOS 16.2,,fp_0cb35b8dd8f96bea93c6c355823f4699ce629da8,2025-06-22,CUS-00002
DEV-000004,phone,Android 16,357518553454464,fp_00f4713ffc18f50281fcac4b225e0a9e5018ac3e,2022-04-23,CUS-00003
DEV-000005,phone,Android 16,358215472771791,fp_6dcdfb8938827d3f2832245272851a905dc663a6,2018-08-16,CUS-00004
DEV-000006,phone,iOS 19.4,358053880148661,fp_9e7fa941d7f39d676a1b71004b359b85449eef0c,2009-11-01,CUS-00005
DEV-000007,laptop,Windows 11 24H2,,fp_85d25d20e6e7fbd6abcc11eb97ee1394fc3eafdc,2009-11-01,CUS-00005
DEV-000008,phone,iOS 19.4,355854016970399,fp_02637b6aa088b1d6055633994e19f3caa22ffe31,2020-05-14,CUS-00006
DEV-000009,laptop,macOS 16.2,,fp_688ae2fe0169737aa15f000d14b21344e007c732,2020-05-14,CUS-00006
DEV-000010,phone,Android 16,358535803927722,fp_10360186bfcb7dd488fede99e3028b04cf5b2359,2011-05-02,CUS-00007
DEV-000011,laptop,Windows 11 24H2,,fp_40d2abbc6d2aab3ec93874539a8542fd7143f44c,2011-05-02,CUS-00007
DEV-000012,phone,Android 16,352583438196988,fp_7ddbd77d35832ae83a607694e8c358f10eed9df5,2019-11-19,CUS-00008
DEV-000013,laptop,Windows 11 24H2,,fp_930a45a67dcd26c0e0f18dbdc6eb292c3597b0d9,2019-11-19,CUS-00008
DEV-000014,tablet,iPadOS 19.4,,fp_6d1db54d20d357770e695497e06bfb7b4ea3aa18,2019-11-19,CUS-00008
DEV-000015,phone,iOS 19.4,352127842552663,fp_0325a7ec9b1e78ac24b10fd7e9d5d772085043a4,2021-03-23,CUS-00009
DEV-000016,phone,iOS 19.4,356432879027879,fp_2a13fe48eb817d972432262c72d4ef6f71358b5f,2024-08-24,CUS-00010
DEV-000017,tablet,iPadOS 19.4,,fp_1f6c60b5de596bfe89e83846413c05c5f01881de,2024-08-24,CUS-00010
DEV-000018,phone,Android 16,359309940991424,fp_3b607f8d531f14a13bc7580a58c8508493cd88a3,2025-06-19,CUS-00011
DEV-000019,phone,Android 16,359848077296437,fp_ad512b37828c0baadce232ef3e6ff6957ae7aa81,2017-08-18,CUS-00012
DEV-000020,laptop,macOS 16.2,,fp_5bbed977889dfccf14f5981d8c0441f0219d4246,2017-08-18,CUS-00012
DEV-000021,phone,Android 16,351916766045696,fp_e26223d8b78ab3dc604a4bde9cda5e63da2ee466,2011-07-11,CUS-00013
DEV-000022,laptop,macOS 16.2,,fp_e1d1b50fb55d308364df977c9ae08d3384e28363,2011-07-11,CUS-00013
DEV-000023,phone,Android 16,353621410618327,fp_4fd8f354c4d73799275bfb00389e749f57d1d7ef,2020-03-24,CUS-00014
DEV-000024,phone,iOS 19.4,351686228200429,fp_2295695c1ce0ef9769a914b5d437a1c04dd0df42,2018-12-18,CUS-00015
DEV-000025,laptop,macOS 16.2,,fp_a2a4fa7e49dbaf486c48fd2e3be6c157dc91fcfe,2018-12-18,CUS-00015
DEV-000026,phone,Android 16,352677039549373,fp_7da63e3ce868222e1bb6daec19b86b3866f84ec2,2015-07-28,CUS-00016
DEV-000027,laptop,macOS 16.2,,fp_18b9f6a5c223c0d7bc59a6833d7f7409b667851c,2015-07-28,CUS-00016
DEV-000028,phone,Android 16,357061316058829,fp_44adcb94f82830ab6e8c355e7802434c7be663e6,2010-11-15,CUS-00017
DEV-000029,phone,iOS 19.4,358745222429908,fp_9c8bbdc8dd7f22790e4dc928c0b57ad78980bebd,2022-06-12,CUS-00018
DEV-000030,laptop,macOS 16.2,,fp_8550610a1ef1f63e2abe3fadf5ebd7036b721904,2022-06-12,CUS-00018
DEV-000031,phone,Android 16,355878012250407,fp_28f305754d2ada28628697b699dc59de218beefe,2023-01-01,CUS-00019
