case_id,txn_id,disputed_amount
DSP-2026-09101,TXN-0019255,2150.00
DSP-2026-09102,TXN-0019256,640.00
DSP-2026-09103,TXN-0019257,1875.50
DSP-2026-09104,TXN-0019258,912.00
DSP-2026-90001,TXN-9000101,1284.00
DSP-2026-90002,TXN-9000201,11.40
DSP-2025-90003,TXN-0019431,22.99
DSP-2026-90003,TXN-9000301,12.49
DSP-2026-90003,TXN-9000302,19.99
DSP-2026-90005,TXN-9000402,64.18
DSP-2026-90006,TXN-9000501,434.06
DSP-2026-90007,TXN-9000601,119.88
DSP-2026-90008,TXN-9000703,29.64
DSP-2026-90009,TXN-9000801,1240.00
DSP-2026-90009,TXN-9000802,59.00
DSP-2026-09201,TXN-0019673,1166.51
DSP-2026-09202,TXN-0019675,886.14
DSP-2026-09203,TXN-0019677,1063.12
DSP-2026-09204,TXN-0019679,720.49
DSP-2026-09205,TXN-0019681,820.45
DSP-2026-09206,TXN-0019683,920.94
DSP-2026-09207,TXN-0019685,262.79
DSP-2026-09208,TXN-0019687,1212.22
DSP-2026-09209,TXN-0019689,748.88
DSP-2026-90901,TXN-0019761,49.99
DSP-2026-90902,TXN-0019762,24.99
DSP-2026-90010,TXN-9000904,69.99
DSP-2026-90011,TXN-9001001,9.99
DSP-2026-90011,TXN-9001002,4.99
DSP-2026-90011,TXN-9001003,19.99
DSP-2026-90011,TXN-9001004,9.99
DSP-2026-90011,TXN-9001005,49.99
DSP-2026-90011,TXN-9001006,4.99
DSP-2026-90011,TXN-9001007,9.99
DSP-2026-90011,TXN-9001008,19.99
DSP-2026-90011,TXN-9001009,24.99
DSP-2026-90011,TXN-9001010,4.99
DSP-2026-90011,TXN-9001011,9.99
DSP-2026-90011,TXN-9001012,49.99
DSP-2026-90011,TXN-9001013,19.99
DSP-2026-90011,TXN-9001014,9.99
DSP-2026-90011,TXN-9001015,4.99
DSP-2026-90011,TXN-9001016,36.99
DSP-2026-90011,TXN-9001017,19.99
DSP-2026-90011,TXN-9001018,9.99
DSP-2026-90011,TXN-9001019,49.99
DSP-2026-90011,TXN-9001020,24.99
DSP-2026-90011,TXN-9001021,19.99
DSP-2026-90011,TXN-9001022,44.99
DSP-2026-90011,TXN-9001023,24.99
DSP-2026-04471,TXN-9001203,612.00
DSP-2026-09301,TXN-0019902,780.00
DSP-2026-09302,TXN-0019903,265.00
DSP-2026-90012,TXN-9001204,1389.00
DSP-2026-91300,TXN-0019987,389.00
DSP-2026-91301,TXN-0019988,529.00
DSP-2026-91302,TXN-0019989,298.00
DSP-2026-91303,TXN-0019990,376.00
DSP-2026-91304,TXN-0019991,455.00
DSP-2026-91305,TXN-0019992,610.00
DSP-2026-91306,TXN-0019993,344.00
DSP-2026-91307,TXN-0019994,188.00
DSP-2026-91308,TXN-0019995,240.00
DSP-2026-90013,TXN-9001301,412.00
DSP-2026-90014,TXN-9001401,219.00
DSP-2026-90015,TXN-9001501,412.60
DSP-2026-90016,TXN-9001601,608.18
DSP-2026-90017,TXN-9001701,64.00
DSP-2026-90018,TXN-9001702,64.00
DSP-2026-90019,TXN-9001801,899.00
DSP-2026-90020,TXN-9001901,329.40
DSP-2026-90021,TXN-9002001,143.20
DSP-2026-09401,TXN-0020433,163.70
DSP-2026-09402,TXN-0020434,78.18
DSP-2026-09403,TXN-0020435,41.19
DSP-2026-09404,TXN-0020436,122.26
DSP-2026-09405,TXN-0020437,60.87
DSP-2026-09406,TXN-0020438,77.68
DSP-2026-09407,TXN-0020439,127.11
DSP-2026-09408,TXN-0020440,76.35
DSP-2026-09409,TXN-0020441,135.94
DSP-2026-09410,TXN-0020442,98.42
DSP-2026-09411,TXN-0020443,41.80
DSP-2026-90022,TXN-9002101,86.50
DSP-2026-00001,TXN-0003441,18.30
DSP-2026-00002,TXN-0018301,123.37
DSP-2026-00003,TXN-0005824,96.14
DSP-2026-00004,TXN-0020450,572.37
DSP-2026-00005,TXN-0020451,247.77
DSP-2026-00006,TXN-0004205,106.25
DSP-2026-00007,TXN-0019003,138.00
DSP-2026-00008,TXN-0020452,465.74
DSP-2026-00009,TXN-0005508,65.00
DSP-2026-00010,TXN-0020454,814.20
DSP-2026-00011,TXN-0018710,189.94
DSP-2026-00012,TXN-0016567,14.22
DSP-2026-00013,TXN-0020456,747.05
DSP-2026-00014,TXN-0018874,21.31
DSP-2026-00015,TXN-0017003,45.37
DSP-2026-00016,TXN-0018544,22.99
DSP-2026-00017,TXN-0009600,201.97
DSP-2026-00018,TXN-0020457,470.77
DSP-2026-00019,TXN-0018395,14.20
DSP-2026-00020,TXN-0020458,224.26
DSP-2025-00021,TXN-0012477,141.71
DSP-2026-00022,TXN-0020459,1131.17
DSP-2026-00023,TXN-0012409,52.16
DSP-2025-00024,TXN-0017970,703.98
DSP-2026-00025,TXN-0016005,133.29
DSP-2026-00026,TXN-0003608,249.77
DSP-2026-00027,TXN-0006561,27.41
DSP-2026-00028,TXN-0018603,85.07
DSP-2025-00029,TXN-0006945,78.70
DSP-2026-00030,TXN-0006026,56.77
DSP-2026-00031,TXN-0020462,202.00
DSP-2026-00032,TXN-0013714,25.40
DSP-2026-00033,TXN-0000321,67.80
DSP-2026-00034,TXN-0020463,497.51
DSP-2026-00035,TXN-0018504,43.63
DSP-2026-00036,TXN-0018352,98.53
DSP-2026-00037,TXN-0014453,90.79
DSP-2026-00038,TXN-0017424,29.59
DSP-2026-00039,TXN-0017011,17.72
DSP-2026-00040,TXN-0008371,22.99
DSP-2026-00041,TXN-0008894,478.84
DSP-2026-00042,TXN-0005753,15.88
DSP-2026-00043,TXN-0018879,5.05
DSP-2026-00044,TXN-0016622,81.39
DSP-2026-00045,TXN-0020464,610.48
DSP-2026-00046,TXN-0020465,700.62
DSP-2026-00047,TXN-0020466,240.96
DSP-2026-00048,TXN-0020467,903.51
DSP-2026-00049,TXN-0010899,121.12
DSP-2026-00050,TXN-0020468,972.70
DSP-2026-00051,TXN-0004427,8.11
DSP-2026-00052,TXN-0020469,759.67
DSP-2026-00053,TXN-0020470,257.54
DSP-2026-00054,TXN-0020471,150.99
DSP-2026-00055,TXN-0017967,53.70
DSP-2026-00056,TXN-0020472,160.64
DSP-2026-00057,TXN-0012837,18.88
DSP-2026-00058,TXN-0016178,17.47
DSP-2026-00059,TXN-0015528,104.56
DSP-2026-00060,TXN-0010205,76.30
DSP-2026-00061,TXN-0001039,114.21
DSP-2026-00062,TXN-0010282,3.92
DSP-2026-00063,TXN-0015000,54.00
DSP-2026-00064,TXN-0008586,135.16
DSP-2026-00065,TXN-0004783,77.09
DSP-2026-00066,TXN-0020474,344.21
DSP-2026-00067,TXN-0005103,39.77
DSP-2025-00068,TXN-0020475,433.30
DSP-2026-00069,TXN-0016560,162.68
DSP-2026-00070,TXN-0003872,97.32
DSP-2026-00071,TXN-0012785,13.81
DSP-2026-00072,TXN-0002917,323.92
DSP-2026-00073,TXN-0018243,65.00
DSP-2026-00074,TXN-0019057,75.27
DSP-2026-00075,TXN-0003868,52.25
DSP-2026-00076,TXN-0018639,149.13
DSP-2025-00077,TXN-0010583,24.25
DSP-2026-00078,TXN-0020476,425.66
DSP-2026-00079,TXN-0020477,279.82
DSP-2026-00080,TXN-0011754,16.69
DSP-2026-00081,TXN-0011551,70.01
DSP-2026-00082,TXN-0020478,197.95
DSP-2025-00083,TXN-0015737,22.99
DSP-2026-00084,TXN-0018323,17.99
DSP-2026-00085,TXN-0015469,142.45
DSP-2026-00086,TXN-0020480,221.31
DSP-2026-00087,TXN-0018470,4.03
DSP-2026-00088,TXN-0017769,9.99
DSP-2026-00089,TXN-0012262,111.48
DSP-2026-00090,TXN-0003724,88.07
DSP-2026-00091,TXN-0010650,121.92
DSP-2026-00092,TXN-0020481,238.88
DSP-2026-00093,TXN-0013121,37.94
DSP-2026-00094,TXN-0020482,1004.26
DSP-2026-00095,TXN-0020483,958.58
DSP-2026-00096,TXN-0017586,44.15
DSP-2026-00097,TXN-0018464,65.00
DSP-2026-00098,TXN-0020484,446.42
DSP-2026-00099,TXN-0004390,122.20
DSP-2026-00100,TXN-0018999,80.52
DSP-2026-00101,TXN-0020485,730.24
DSP-2026-00102,TXN-0020486,290.86
DSP-2026-00103,TXN-0020487,1156.82
DSP-2026-00104,TXN-0018591,60.07
DSP-2026-00105,TXN-0008209,151.80
DSP-2026-00106,TXN-0018110,71.95
DSP-2026-00107,TXN-0018111,161.49
DSP-2026-00108,TXN-0016113,178.24
DSP-2026-00109,TXN-0000062,5.75
DSP-2026-00110,TXN-0000852,125.03
DSP-2026-00111,TXN-0020489,551.56
DSP-2026-00112,TXN-0016728,102.33
DSP-2026-00113,TXN-0000067,56.60
DSP-2026-00114,TXN-0013120,121.77
DSP-2026-00115,TXN-0006177,85.00
DSP-2026-00116,TXN-0019054,177.64
DSP-2026-00117,TXN-0005631,6.56
DSP-2026-00118,TXN-0011015,25.09
DSP-2026-00119,TXN-0001728,135.99
DSP-2026-00120,TXN-0020490,991.62
DSP-2026-00121,TXN-0012000,149.08
DSP-2026-00122,TXN-0002047,124.13
DSP-2026-00123,TXN-0004157,142.73
DSP-2026-00124,TXN-0015588,89.03
DSP-2026-00125,TXN-0001277,95.62
DSP-2026-00126,TXN-0001923,151.59
DSP-2026-00127,TXN-0020491,463.63
DSP-2026-00128,TXN-0009409,159.81
DSP-2026-00129,TXN-0013518,66.41
DSP-2026-00130,TXN-0019009,142.14
DSP-2026-00131,TXN-0010908,5.47
DSP-2026-00132,TXN-0020492,759.16
DSP-2026-00133,TXN-0004118,17.99
DSP-2026-00134,TXN-0016670,174.74
DSP-2026-00135,TXN-0003429,44.75
DSP-2026-00136,TXN-0020494,1180.93
DSP-2026-00137,TXN-0009982,17.99
DSP-2026-00138,TXN-0013655,1.03
DSP-2026-00139,TXN-0005219,66.45
