case_id,account_id,customer_id,card_id,regime,status,stage,opened_at,intake_channel,intake_authenticated_via,claim_summary,claim_family_initial,network,network_condition,dispute_amount,provisional_credit_amount,provisional_credit_at,network_case_ref,dispute_processing_date,response_processing_date,pre_arb_processing_date,cardholder_outcome,network_outcome,closed_at,assigned_queue,related_case_ids
DSP-2025-00021,ACC-CR-00199,CUS-00232,CRD-000265,REG_Z,closed,closed,2025-12-08T20:54:00Z,secure_message,ivr_otp,Cardholder does not recognize and did not authorize an online purchase.,fraud_cnp,VISA,10.4,141.71,141.71,2025-12-13T16:00:00Z,VRL6363890638,2025-12-14,2026-01-04,,denied,merchant_won_pre_arb,2026-01-12T22:00:00Z,fraud_cnp,
DSP-2025-00024,ACC-CR-00286,CUS-00336,CRD-000384,REG_Z,closed,closed,2025-12-20T15:32:00Z,secure_message,ivr_otp,Paid for an order that never arrived.,not_received,VISA,13.1,703.98,703.98,2025-12-23T16:00:00Z,VRL1474187418,2025-12-28,,,credited,issuer_won,2026-01-27T22:00:00Z,consumer_disputes,
DSP-2025-00029,ACC-CR-00117,CUS-00132,CRD-000151,REG_Z,closed,closed,2025-12-28T20:20:00Z,app_chat,ivr_otp,Returned item; merchant promised refund that never posted.,credit_not_processed,VISA,13.6,78.70,78.70,2026-01-02T16:00:00Z,VRL5967538204,2026-01-01,,,credited,issuer_won,2026-01-31T22:00:00Z,consumer_disputes,
DSP-2025-00068,ACC-CR-00292,CUS-00343,CRD-000392,REG_Z,closed,closed,2025-12-11T23:06:00Z,app_chat,ivr_otp,Cardholder does not recognize and did not authorize an online purchase.,fraud_cnp,VISA,10.4,433.30,433.30,2025-12-13T16:00:00Z,VRL9860993276,2025-12-20,,,credited,issuer_won,2026-02-07T22:00:00Z,fraud_cnp,
DSP-2025-00077,ACC-CR-00170,CUS-00198,CRD-000225,REG_Z,closed,closed,2025-12-25T23:30:00Z,phone,ivr_otp,Cardholder does not recognize and did not authorize an online purchase.,fraud_cnp,VISA,10.4,24.25,24.25,2025-12-30T16:00:00Z,VRL3933045896,2026-01-02,2026-01-23,,denied,merchant_won_pre_arb,2026-02-10T22:00:00Z,fraud_cnp,
DSP-2025-00083,ACC-CR-00255,CUS-00298,CRD-000339,REG_Z,closed,closed,2025-12-27T23:12:00Z,app_chat,ivr_otp,Subscription was cancelled but charges continued.,cancelled_recurring,VISA,13.2,22.99,22.99,2025-12-30T16:00:00Z,VRL1828228142,2026-01-01,,,credited,issuer_won,2026-02-13T22:00:00Z,consumer_disputes,
DSP-2025-00152,ACC-CR-00042,CUS-00049,CRD-000054,REG_Z,closed,closed,2025-12-29T22:57:00Z,phone,ivr_otp,Cardholder does not recognize and did not authorize an online purchase.,fraud_cnp,VISA,10.4,515.14,515.14,2026-01-03T16:00:00Z,VRL4690676545,2026-01-02,,,credited,issuer_won,2026-02-22T22:00:00Z,fraud_cnp,
DSP-2025-00168,ACC-CR-00171,CUS-00199,CRD-000226,REG_Z,closed,closed,2025-12-17T19:56:00Z,secure_message,ivr_otp,Charged more than the receipt amount.,incorrect_amount,VISA,12.5,13.52,13.52,2025-12-18T16:00:00Z,VRL5036709729,2025-12-20,,,partial_credit,issuer_won,2026-01-16T22:00:00Z,consumer_disputes,
DSP-2025-00203,ACC-CR-00246,CUS-00287,CRD-000327,REG_Z,closed,closed,2025-12-30T16:22:00Z,secure_message,ivr_otp,Returned item; merchant promised refund that never posted.,credit_not_processed,VISA,,60.99,,,,,,,withdrawn,not_filed,2026-01-10T22:00:00Z,consumer_disputes,
DSP-2025-08009,ACC-CR-00063,CUS-00072,CRD-000079,REG_Z,closed,closed,2025-11-06T15:00:00Z,phone,ivr_otp,Did not authorize game purchase.,fraud_cnp,VISA,10.4,59.99,,,,2025-11-09,,,denied,merchant_won_pre_arb,2025-12-18T21:00:00Z,fraud_cnp,
DSP-2025-90003,ACC-CR-90003,CUS-90003,CRD-90003,REG_Z,closed,closed,2025-08-12T13:40:00Z,phone,ivr_otp,Cancelled streaming but charged again.,cancelled_recurring,VISA,13.2,22.99,,,,2025-08-15,,,credited,issuer_won,2025-09-19T20:00:00Z,consumer_disputes,
DSP-2026-00001,ACC-DDA-00009,CUS-00067,CRD-000074,REG_E,closed,closed,2026-07-11T18:54:00Z,app_chat,ivr_otp,Returned item; merchant promised refund that never posted.,credit_not_processed,VISA,,18.30,,,,,,,withdrawn,not_filed,2026-07-14T21:00:00Z,consumer_disputes,
