merchant_id,descriptor,first_seen,last_seen,note
MER-00001,GREENBASKET MARKET OH,2019-05-01,,primary
MER-00001,GREENBASKE*COLUMB,2026-03-01,,new POS vendor descriptor
MER-00002,HEARTHSIDE GROCERS OH,2019-05-01,,primary
MER-00002,HEARTHSIDE*COLUMB,2026-03-01,,new POS vendor descriptor
MER-00003,FIELDSTONE FOODS # OH,2019-05-01,,primary
MER-00004,GREENBASKET MARKET OH,2019-05-01,,primary
MER-00004,GREENBASKE*WESTER,2026-03-01,,new POS vendor descriptor
MER-00005,HEARTHSIDE GROCERS OH,2019-05-01,,primary
MER-00005,HEARTHSIDE*WESTER,2026-03-01,,new POS vendor descriptor
MER-00006,FIELDSTONE FOODS # OH,2019-05-01,,primary
MER-00007,GREENBASKET MARKET OH,2019-05-01,,primary
MER-00007,GREENBASKE*CLEVEL,2026-03-01,,new POS vendor descriptor
MER-00008,HEARTHSIDE GROCERS OH,2019-05-01,,primary
MER-00008,HEARTHSIDE*CLEVEL,2026-03-01,,new POS vendor descriptor
MER-00009,FIELDSTONE FOODS # OH,2019-05-01,,primary
MER-00009,FIELDSTONE*CLEVEL,2026-03-01,,new POS vendor descriptor
MER-00010,GREENBASKET MARKET PA,2019-05-01,,primary
MER-00010,GREENBASKE*PITTSB,2026-03-01,,new POS vendor descriptor
MER-00011,HEARTHSIDE GROCERS PA,2019-05-01,,primary
MER-00012,FIELDSTONE FOODS # PA,2019-05-01,,primary
MER-00012,FIELDSTONE*PITTSB,2026-03-01,,new POS vendor descriptor
MER-00013,GREENBASKET MARKET MA,2019-05-01,,primary
MER-00013,GREENBASKE*BOSTON,2026-03-01,,new POS vendor descriptor
MER-00014,HEARTHSIDE GROCERS MA,2019-05-01,,primary
MER-00014,HEARTHSIDE*BOSTON,2026-03-01,,new POS vendor descriptor
MER-00015,FIELDSTONE FOODS # MA,2019-05-01,,primary
MER-00015,FIELDSTONE*BOSTON,2026-03-01,,new POS vendor descriptor
MER-00016,GREENBASKET MARKET NY,2019-05-01,,primary
MER-00016,GREENBASKE*BROOKL,2026-03-01,,new POS vendor descriptor
MER-00017,HEARTHSIDE GROCERS NY,2019-05-01,,primary
MER-00018,FIELDSTONE FOODS # NY,2019-05-01,,primary
MER-00018,FIELDSTONE*BROOKL,2026-03-01,,new POS vendor descriptor
MER-00019,GREENBASKET MARKET NJ,2019-05-01,,primary
MER-00019,GREENBASKE*JERSEY,2026-03-01,,new POS vendor descriptor
MER-00020,HEARTHSIDE GROCERS NJ,2019-05-01,,primary
MER-00021,FIELDSTONE FOODS # NJ,2019-05-01,,primary
MER-00021,FIELDSTONE*JERSEY,2026-03-01,,new POS vendor descriptor
MER-00022,GREENBASKET MARKET IL,2019-05-01,,primary
MER-00023,HEARTHSIDE GROCERS IL,2019-05-01,,primary
MER-00024,FIELDSTONE FOODS # IL,2019-05-01,,primary
MER-00025,GREENBASKET MARKET TX,2019-05-01,,primary
MER-00025,GREENBASKE*AUSTIN,2026-03-01,,new POS vendor descriptor
MER-00026,HEARTHSIDE GROCERS TX,2019-05-01,,primary
MER-00027,FIELDSTONE FOODS # TX,2019-05-01,,primary
MER-00028,GREENBASKET MARKET CO,2019-05-01,,primary
MER-00028,GREENBASKE*DENVER,2026-03-01,,new POS vendor descriptor
MER-00029,HEARTHSIDE GROCERS CO,2019-05-01,,primary
MER-00029,HEARTHSIDE*DENVER,2026-03-01,,new POS vendor descriptor
MER-00030,FIELDSTONE FOODS # CO,2019-05-01,,primary
MER-00031,GREENBASKET MARKET CA,2019-05-01,,primary
MER-00031,GREENBASKE*LOS AN,2026-03-01,,new POS vendor descriptor
MER-00032,HEARTHSIDE GROCERS CA,2019-05-01,,primary
MER-00032,HEARTHSIDE*LOS AN,2026-03-01,,new POS vendor descriptor
MER-00033,FIELDSTONE FOODS # CA,2019-05-01,,primary
MER-00034,GREENBASKET MARKET WA,2019-05-01,,primary
MER-00035,HEARTHSIDE GROCERS WA,2019-05-01,,primary
MER-00035,HEARTHSIDE*SEATTL,2026-03-01,,new POS vendor descriptor
MER-00036,FIELDSTONE FOODS # WA,2019-05-01,,primary
MER-00037,COPPER KETTLE BIST OH,2019-05-01,,primary
MER-00038,LANTERN ROW KITCHE OH,2019-05-01,,primary
MER-00039,SALTBOX DINER OH,2019-05-01,,primary
MER-00040,COPPER KETTLE BIST OH,2019-05-01,,primary
MER-00041,LANTERN ROW KITCHE OH,2019-05-01,,primary
MER-00042,SALTBOX DINER OH,2019-05-01,,primary
MER-00043,COPPER KETTLE BIST OH,2019-05-01,,primary
MER-00044,LANTERN ROW KITCHE OH,2019-05-01,,primary
MER-00045,SALTBOX DINER OH,2019-05-01,,primary
MER-00046,COPPER KETTLE BIST PA,2019-05-01,,primary
MER-00047,LANTERN ROW KITCHE PA,2019-05-01,,primary
MER-00048,SALTBOX DINER PA,2019-05-01,,primary
MER-00049,COPPER KETTLE BIST MA,2019-05-01,,primary
MER-00050,LANTERN ROW KITCHE MA,2019-05-01,,primary
MER-00051,SALTBOX DINER MA,2019-05-01,,primary
MER-00052,COPPER KETTLE BIST NY,2019-05-01,,primary
MER-00053,LANTERN ROW KITCHE NY,2019-05-01,,primary
MER-00054,SALTBOX DINER NY,2019-05-01,,primary
MER-00055,COPPER KETTLE BIST NJ,2019-05-01,,primary
MER-00056,LANTERN ROW KITCHE NJ,2019-05-01,,primary
MER-00057,SALTBOX DINER NJ,2019-05-01,,primary
MER-00058,COPPER KETTLE BIST IL,2019-05-01,,primary
MER-00059,LANTERN ROW KITCHE IL,2019-05-01,,primary
MER-00060,SALTBOX DINER IL,2019-05-01,,primary
MER-00061,COPPER KETTLE BIST TX,2019-05-01,,primary
MER-00062,LANTERN ROW KITCHE TX,2019-05-01,,primary
MER-00063,SALTBOX DINER TX,2019-05-01,,primary
MER-00064,COPPER KETTLE BIST CO,2019-05-01,,primary
MER-00065,LANTERN ROW KITCHE CO,2019-05-01,,primary
MER-00066,SALTBOX DINER CO,2019-05-01,,primary
MER-00067,COPPER KETTLE BIST CA,2019-05-01,,primary
MER-00068,LANTERN ROW KITCHE CA,2019-05-01,,primary
MER-00069,SALTBOX DINER CA,2019-05-01,,primary
MER-00070,COPPER KETTLE BIST WA,2019-05-01,,primary
MER-00071,LANTERN ROW KITCHE WA,2019-05-01,,primary
MER-00072,SALTBOX DINER WA,2019-05-01,,primary
MER-00073,BRISK BURGER OH,2019-05-01,,primary
MER-00074,TACOLOCO EXPRESS OH,2019-05-01,,primary
MER-00075,BRISK BURGER OH,2019-05-01,,primary
MER-00076,TACOLOCO EXPRESS OH,2019-05-01,,primary
MER-00077,BRISK BURGER OH,2019-05-01,,primary
MER-00078,TACOLOCO EXPRESS OH,2019-05-01,,primary
MER-00079,BRISK BURGER PA,2019-05-01,,primary
MER-00080,TACOLOCO EXPRESS PA,2019-05-01,,primary
MER-00081,BRISK BURGER MA,2019-05-01,,primary
MER-00082,TACOLOCO EXPRESS MA,2019-05-01,,primary
MER-00083,BRISK BURGER NY,2019-05-01,,primary
MER-00084,TACOLOCO EXPRESS NY,2019-05-01,,primary
MER-00085,BRISK BURGER NJ,2019-05-01,,primary
MER-00086,TACOLOCO EXPRESS NJ,2019-05-01,,primary
MER-00087,BRISK BURGER IL,2019-05-01,,primary
MER-00088,TACOLOCO EXPRESS IL,2019-05-01,,primary
MER-00089,BRISK BURGER TX,2019-05-01,,primary
MER-00090,TACOLOCO EXPRESS TX,2019-05-01,,primary
MER-00091,BRISK BURGER CO,2019-05-01,,primary
MER-00092,TACOLOCO EXPRESS CO,2019-05-01,,primary
MER-00093,BRISK BURGER CA,2019-05-01,,primary
MER-00094,TACOLOCO EXPRESS CA,2019-05-01,,primary
MER-00095,BRISK BURGER WA,2019-05-01,,primary
MER-00096,TACOLOCO EXPRESS WA,2019-05-01,,primary
MER-00097,PINEGROVE FUEL #12 OH,2019-05-01,,primary
MER-00098,NORTHSTAR GAS #15 OH,2019-05-01,,primary
MER-00099,PINEGROVE FUEL #13 OH,2019-05-01,,primary
