merchant_id,legal_name,dba_name,mcc,mcc_description,country,city,state,timezone,channel,website,phone,acquirer_id,acquirer_name,card_acceptor_id,is_marketplace,parent_merchant_id,onboarded_at,status
MER-00001,Greenbasket Market #36 LLC,Greenbasket Market #36,5411,"Grocery Stores, Supermarkets",US,Columbus,OH,America/New_York,in_store,https://www.greenbasketmarket36.example,(888) 555-0174,ACQ-07,Nimbus Digital Acquiring,555293940295500,false,,2019-05-01,active
MER-00002,Hearthside Grocers #43 LLC,Hearthside Grocers #43,5411,"Grocery Stores, Supermarkets",US,Columbus,OH,America/New_York,in_store,https://www.hearthsidegrocers43.example,(888) 555-0161,ACQ-04,Keystone Card Acquiring,556750010922748,false,,2019-05-01,active
MER-00003,Fieldstone Foods #16 LLC,Fieldstone Foods #16,5411,"Grocery Stores, Supermarkets",US,Columbus,OH,America/New_York,in_store,https://www.fieldstonefoods16.example,(888) 555-0106,ACQ-01,Harborstone Merchant Services,803325295630422,false,,2019-05-01,active
MER-00004,Greenbasket Market #5 LLC,Greenbasket Market #5,5411,"Grocery Stores, Supermarkets",US,Westerville,OH,America/New_York,in_store,https://www.greenbasketmarket5.example,(888) 555-0159,ACQ-02,Pinecrest Payments,201895558885159,false,,2019-05-01,active
MER-00005,Hearthside Grocers #45 LLC,Hearthside Grocers #45,5411,"Grocery Stores, Supermarkets",US,Westerville,OH,America/New_York,in_store,https://www.hearthsidegrocers45.example,(888) 555-0122,ACQ-05,Atlantica Global Acquiring,271782116553714,false,,2019-05-01,active
MER-00006,Fieldstone Foods #43 LLC,Fieldstone Foods #43,5411,"Grocery Stores, Supermarkets",US,Westerville,OH,America/New_York,in_store,https://www.fieldstonefoods43.example,(888) 555-0114,ACQ-01,Harborstone Merchant Services,156391658779670,false,,2019-05-01,active
MER-00007,Greenbasket Market #18 LLC,Greenbasket Market #18,5411,"Grocery Stores, Supermarkets",US,Cleveland,OH,America/New_York,in_store,https://www.greenbasketmarket18.example,(888) 555-0145,ACQ-03,Tapr Payment Facilitation,912533706674153,false,,2019-05-01,active
MER-00008,Hearthside Grocers #39 LLC,Hearthside Grocers #39,5411,"Grocery Stores, Supermarkets",US,Cleveland,OH,America/New_York,in_store,https://www.hearthsidegrocers39.example,(888) 555-0135,ACQ-06,Summit Commerce Bank,219221972757357,false,,2019-05-01,active
MER-00009,Fieldstone Foods #21 LLC,Fieldstone Foods #21,5411,"Grocery Stores, Supermarkets",US,Cleveland,OH,America/New_York,in_store,https://www.fieldstonefoods21.example,(888) 555-0110,ACQ-08,Ironbridge Processing,735002757770942,false,,2019-05-01,active
MER-00010,Greenbasket Market #27 LLC,Greenbasket Market #27,5411,"Grocery Stores, Supermarkets",US,Pittsburgh,PA,America/New_York,in_store,https://www.greenbasketmarket27.example,(888) 555-0149,ACQ-02,Pinecrest Payments,836411671885361,false,,2019-05-01,active
MER-00011,Hearthside Grocers #23 LLC,Hearthside Grocers #23,5411,"Grocery Stores, Supermarkets",US,Pittsburgh,PA,America/New_York,in_store,https://www.hearthsidegrocers23.example,(888) 555-0182,ACQ-05,Atlantica Global Acquiring,971748346257846,false,,2019-05-01,active
MER-00012,Fieldstone Foods #3 LLC,Fieldstone Foods #3,5411,"Grocery Stores, Supermarkets",US,Pittsburgh,PA,America/New_York,in_store,https://www.fieldstonefoods3.example,(888) 555-0189,ACQ-02,Pinecrest Payments,693436762948862,false,,2019-05-01,active
