statement_id,account_id,cycle_start,cycle_end,transmitted_at,due_date,previous_balance,purchases,credits,payments,fees,closing_balance,minimum_due
STM-CR-00001-202509,ACC-CR-00001,2025-08-31,2025-09-24,2025-09-25T13:00:00Z,2025-10-19,0.00,0.00,0.00,0.00,0.00,0.00,0.00
STM-CR-00001-202510,ACC-CR-00001,2025-09-25,2025-10-24,2025-10-25T13:00:00Z,2025-11-18,0.00,128.60,0.00,0.00,0.00,128.60,35.00
STM-CR-00001-202511,ACC-CR-00001,2025-10-25,2025-11-24,2025-11-25T14:00:00Z,2025-12-19,128.60,189.07,0.00,128.60,0.00,189.07,35.00
STM-CR-00001-202512,ACC-CR-00001,2025-11-25,2025-12-24,2025-12-25T14:00:00Z,2026-01-18,189.07,299.07,0.00,189.07,0.00,299.07,35.00
STM-CR-00001-202601,ACC-CR-00001,2025-12-25,2026-01-24,2026-01-25T14:00:00Z,2026-02-18,299.07,229.18,0.00,299.07,0.00,229.18,35.00
STM-CR-00001-202602,ACC-CR-00001,2026-01-25,2026-02-24,2026-02-25T14:00:00Z,2026-03-21,229.18,120.61,0.00,229.18,0.00,120.61,35.00
STM-CR-00001-202603,ACC-CR-00001,2026-02-25,2026-03-24,2026-03-25T13:00:00Z,2026-04-18,120.61,234.50,0.00,120.61,0.00,234.50,35.00
STM-CR-00001-202604,ACC-CR-00001,2026-03-25,2026-04-24,2026-04-25T13:00:00Z,2026-05-19,234.50,258.37,0.00,234.50,0.00,258.37,35.00
STM-CR-00001-202605,ACC-CR-00001,2026-04-25,2026-05-24,2026-05-25T13:00:00Z,2026-06-18,258.37,72.20,0.00,258.37,0.00,72.20,35.00
STM-CR-00001-202606,ACC-CR-00001,2026-05-25,2026-06-24,2026-06-25T13:00:00Z,2026-07-19,72.20,50.54,0.00,72.20,0.00,50.54,35.00
STM-CR-00001-202607,ACC-CR-00001,2026-06-25,2026-07-24,2026-07-25T13:00:00Z,2026-08-18,50.54,435.60,0.00,50.54,0.00,435.60,35.00
STM-CR-00001-202608,ACC-CR-00001,2026-07-25,2026-08-24,2026-08-25T13:00:00Z,2026-09-18,435.60,2313.90,0.00,435.60,0.00,2313.90,46.28
STM-CR-00001-202609,ACC-CR-00001,2026-08-25,2026-09-24,2026-09-25T13:00:00Z,2026-10-19,2313.90,93.19,0.00,2313.90,0.00,93.19,35.00
STM-CR-00002-202509,ACC-CR-00002,2025-08-31,2025-09-28,2025-09-29T13:00:00Z,2025-10-23,0.00,0.00,0.00,0.00,0.00,0.00,0.00
STM-CR-00002-202510,ACC-CR-00002,2025-09-29,2025-10-28,2025-10-29T13:00:00Z,2025-11-22,0.00,280.92,0.00,0.00,0.00,280.92,35.00
STM-CR-00002-202511,ACC-CR-00002,2025-10-29,2025-11-28,2025-11-29T14:00:00Z,2025-12-23,280.92,521.21,0.00,280.92,0.00,521.21,35.00
STM-CR-00002-202512,ACC-CR-00002,2025-11-29,2025-12-28,2025-12-29T14:00:00Z,2026-01-22,521.21,693.27,0.00,521.21,0.00,693.27,35.00
STM-CR-00002-202601,ACC-CR-00002,2025-12-29,2026-01-28,2026-01-29T14:00:00Z,2026-02-22,693.27,293.75,0.00,693.27,0.00,293.75,35.00
STM-CR-00002-202602,ACC-CR-00002,2026-01-29,2026-02-28,2026-03-01T14:00:00Z,2026-03-25,293.75,255.84,22.24,293.75,0.00,233.60,35.00
STM-CR-00002-202603,ACC-CR-00002,2026-03-01,2026-03-28,2026-03-29T13:00:00Z,2026-04-22,233.60,185.94,0.00,233.60,0.00,185.94,35.00
STM-CR-00002-202604,ACC-CR-00002,2026-03-29,2026-04-28,2026-04-29T13:00:00Z,2026-05-23,185.94,1011.72,0.00,185.94,0.00,1011.72,35.00
STM-CR-00002-202605,ACC-CR-00002,2026-04-29,2026-05-28,2026-05-29T13:00:00Z,2026-06-22,1011.72,238.93,0.00,1011.72,0.00,238.93,35.00
STM-CR-00002-202606,ACC-CR-00002,2026-05-29,2026-06-28,2026-06-29T13:00:00Z,2026-07-23,238.93,123.77,0.00,238.93,0.00,123.77,35.00
STM-CR-00002-202607,ACC-CR-00002,2026-06-29,2026-07-28,2026-07-29T13:00:00Z,2026-08-22,123.77,233.41,0.00,123.77,0.00,233.41,35.00
STM-CR-00002-202608,ACC-CR-00002,2026-07-29,2026-08-28,2026-08-29T13:00:00Z,2026-09-22,233.41,193.12,0.00,233.41,0.00,193.12,35.00
STM-CR-00002-202609,ACC-CR-00002,2026-08-29,2026-09-28,2026-09-29T13:00:00Z,2026-10-23,193.12,160.41,0.00,193.12,0.00,160.41,35.00
STM-CR-00003-202509,ACC-CR-00003,2025-08-31,2025-09-17,2025-09-18T13:00:00Z,2025-10-12,0.00,0.00,0.00,0.00,0.00,0.00,0.00
STM-CR-00003-202510,ACC-CR-00003,2025-09-18,2025-10-17,2025-10-18T13:00:00Z,2025-11-11,0.00,15.99,0.00,0.00,0.00,15.99,35.00
STM-CR-00003-202511,ACC-CR-00003,2025-10-18,2025-11-17,2025-11-18T14:00:00Z,2025-12-12,15.99,347.25,0.00,15.99,0.00,347.25,35.00
STM-CR-00003-202512,ACC-CR-00003,2025-11-18,2025-12-17,2025-12-18T14:00:00Z,2026-01-11,347.25,594.11,0.00,347.25,0.00,594.11,35.00
STM-CR-00003-202601,ACC-CR-00003,2025-12-18,2026-01-17,2026-01-18T14:00:00Z,2026-02-11,594.11,737.85,0.00,594.11,0.00,737.85,35.00
STM-CR-00003-202602,ACC-CR-00003,2026-01-18,2026-02-17,2026-02-18T14:00:00Z,2026-03-14,737.85,228.05,148.28,737.85,0.00,79.77,35.00
STM-CR-00003-202603,ACC-CR-00003,2026-02-18,2026-03-17,2026-03-18T13:00:00Z,2026-04-11,79.77,216.38,0.00,79.77,0.00,216.38,35.00
STM-CR-00003-202604,ACC-CR-00003,2026-03-18,2026-04-17,2026-04-18T13:00:00Z,2026-05-12,216.38,259.81,0.00,216.38,0.00,259.81,35.00
STM-CR-00003-202605,ACC-CR-00003,2026-04-18,2026-05-17,2026-05-18T13:00:00Z,2026-06-11,259.81,787.18,0.00,259.81,0.00,787.18,35.00
STM-CR-00003-202606,ACC-CR-00003,2026-05-18,2026-06-17,2026-06-18T13:00:00Z,2026-07-12,787.18,254.65,0.00,787.18,0.00,254.65,35.00
STM-CR-00003-202607,ACC-CR-00003,2026-06-18,2026-07-17,2026-07-18T13:00:00Z,2026-08-11,254.65,191.23,0.00,254.65,0.00,191.23,35.00
STM-CR-00003-202608,ACC-CR-00003,2026-07-18,2026-08-17,2026-08-18T13:00:00Z,2026-09-11,191.23,198.50,0.00,191.23,0.00,198.50,35.00
STM-CR-00003-202609,ACC-CR-00003,2026-08-18,2026-09-17,2026-09-18T13:00:00Z,2026-10-12,198.50,357.52,0.00,198.50,0.00,357.52,35.00
STM-CR-00003-202610,ACC-CR-00003,2026-09-18,2026-10-17,2026-10-18T13:00:00Z,2026-11-11,357.52,350.89,0.00,357.52,0.00,350.89,35.00
STM-CR-00004-202509,ACC-CR-00004,2025-08-31,2025-09-20,2025-09-21T13:00:00Z,2025-10-15,0.00,0.00,0.00,0.00,0.00,0.00,0.00
STM-CR-00004-202510,ACC-CR-00004,2025-09-21,2025-10-20,2025-10-21T13:00:00Z,2025-11-14,0.00,48.84,0.00,0.00,0.00,48.84,35.00
STM-CR-00004-202511,ACC-CR-00004,2025-10-21,2025-11-20,2025-11-21T14:00:00Z,2025-12-15,48.84,238.80,0.00,48.84,0.00,238.80,35.00
STM-CR-00004-202512,ACC-CR-00004,2025-11-21,2025-12-20,2025-12-21T14:00:00Z,2026-01-14,238.80,313.44,0.00,238.80,0.00,313.44,35.00
STM-CR-00004-202601,ACC-CR-00004,2025-12-21,2026-01-20,2026-01-21T14:00:00Z,2026-02-14,313.44,162.49,0.00,313.44,0.00,162.49,35.00
STM-CR-00004-202602,ACC-CR-00004,2026-01-21,2026-02-20,2026-02-21T14:00:00Z,2026-03-17,162.49,776.17,0.00,162.49,0.00,776.17,35.00
STM-CR-00004-202603,ACC-CR-00004,2026-02-21,2026-03-20,2026-03-21T13:00:00Z,2026-04-14,776.17,149.48,0.00,776.17,0.00,149.48,35.00
STM-CR-00004-202604,ACC-CR-00004,2026-03-21,2026-04-20,2026-04-21T13:00:00Z,2026-05-15,149.48,434.56,0.00,149.48,0.00,434.56,35.00
STM-CR-00004-202605,ACC-CR-00004,2026-04-21,2026-05-20,2026-05-21T13:00:00Z,2026-06-14,434.56,102.06,0.00,434.56,0.00,102.06,35.00
STM-CR-00004-202606,ACC-CR-00004,2026-05-21,2026-06-20,2026-06-21T13:00:00Z,2026-07-15,102.06,421.02,0.00,102.06,0.00,421.02,35.00
STM-CR-00004-202607,ACC-CR-00004,2026-06-21,2026-07-20,2026-07-21T13:00:00Z,2026-08-14,421.02,100.10,0.00,421.02,0.00,100.10,35.00
STM-CR-00004-202608,ACC-CR-00004,2026-07-21,2026-08-20,2026-08-21T13:00:00Z,2026-09-14,100.10,457.80,0.00,100.10,0.00,457.80,35.00
STM-CR-00004-202609,ACC-CR-00004,2026-08-21,2026-09-20,2026-09-21T13:00:00Z,2026-10-15,457.80,367.39,0.00,457.80,0.00,367.39,35.00
